French: je m'ennuie = English: I'm bored.	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui est juste entré par là?
French: C'est un rendez-vous très important pour vous ? = English: Is it an important meeting for you?	C'est peut-être un pirate ?	Peut-être qu'il est un pirate?
English: Did you ever learn to make a fire with a flint? = French: Tu sais faire du feu avec un silex ?	Sucre ?	Sucre?
French: Et vous ? = English: How about you?	Quatre heures ?	Quatre heures?
French: il a eu peur = English: He got scared.	Quand êtes-vous allée là-bas ?	Quand est-ce que tu y es allé?
English: I'm just enjoying the beautiful weather and the calm breeze. = French: Je profite simplement du beau temps et de cette petite brise.	Ça ne l'a pas traumatisé ?	N'était-il pas traumatisé?
English: Shall we treat ourselves to something really nice for dinner to make up for such a bad day? = French: Est-ce qu'on devrait se faire plaisir avec un bon dîner pour se consoler après une mauvaise journée comme ça ?	On peut faire quelque chose que ta mère peut faire aussi.	On peut faire quelque chose que ta mère peut faire aussi, alors ?
English: The nurses seem to be queuing up! = French: Les infirmières ont l'air de faire la queue !	Ils font venir un minibus qui nous emmène à un endroit intéressant.	Ils organisent un minibus qui nous emmène quelque part.
English: Oh dear! = French: Mon Dieu !	Oh, vraiment ?	Vraiment !
English: Yes, anything to get away from this poolside for five minutes. = French: Oui, je suis prête à tout pour m'éloigner cinq minutes du bord de la piscine.	La lumière commence à baisser et il ne faudrait pas que nous nous perdions de vue.	La lumière commence à baisser et nous ne voulons pas nous perdre de vue.
English: It can’t cope with the heat. = French: Il ne supporte pas la chaleur.	J'ai un petit creux.	J’ai un petit creux.
French: Rêvez vous que vous mangez des glaces pendant la nuit avant de vous réveiller et d'en manger ? = English: Do you dream that you're eating ice-cream during the night before waking up and eating it?	Pourquoi pas ?	Pourquoi pas?
French: je n'aurais pas cette promotion = English: I won't get that promotion.	Oui, c'est sûrement très intéressant, mais ça n'a pas l'air très pertinent par rapport au présent.	Oui, je suppose que c'est très intéressant, mais ça ne me semble pas très pertinent par rapport au présent.
English: Saturday 11 June? = French: Samedi 11 juin ?	Pas même une balade en ville ?	Pas même une promenade en ville ?
English: Yes, goodbye = French: Oui. Au revoir.	Tu as apporté de quoi faire du feu ?	Tu as apporté quelque chose pour faire du feu?
English: You mean that he's there too? = French: Vous voulez dire qu'il est là aussi ?	Avec du lait ?	Avec du lait ?
English: But it's been lovely to see you! = French: Mais c'était sympathique de te voir !	Donc j'ai gardé une petite réserve de bonbons sous mon oreiller.	Alors j'ai gardé un petit stock de bonbons ici sous mon oreiller.
French: Vous sortez souvent avec des amis en ce moment ? = English: Do you go out with your friends often these days?	Oui, les canards les plus agressifs attrapent plus de nourriture et sont mieux placés pour dominer les autres.	Oui, les canards les plus agressifs mangent plus et sont mieux à même de dominer les autres.
English: Let me have a look... You mean that smell's coming from your present? = French: Laisse-moi regarder... Tu veux dire que cette odeur vient de ton cadeau ?	Il semble aller bien, mais tu sais ce qui est arrivé à sa femme l'an dernier, il a été très courageux.	Il semble aller bien, bien que tu saches ce qui est arrivé à sa femme l'année dernière, il est très courageux.
French: Ils font des années et des années d'études! = English: They do years and years of studying!	Je ne suis pas un grand fan car ils sont pleins de stéréotypes.	Je ne suis pas un grand fan parce qu'ils sont plutôt stéréotypés.
English: Well, let's give it a go then! = French: Eh bien, on n'a qu'à essayer alors !	Ce qui est difficile quand on nourrit les canards, c'est de lancer du pain un peu partout, pour que même les plus petits puissent en attraper.	Le plus grand défi dans l'alimentation des canards est de jeter le pain à différents endroits afin que même les plus petits canards puissent en avoir.
English: Oh no! = French: Oh non !	Nous sommes sauvées !	Nous sommes en sécurité !
French: Ah non! = English: Oh no!	D'après ce que j'en sais, il y a très peu de chance qu'une civilisation ancienne ait existé sur Mars – en tout cas pas une forme de vie qu'on reconnaîtrait – l'atmosphère est pauvre et il y a peu d'eau.	Je ne comprends pas
French: C'est difficile parfois de vieillir. = English: Growing old is difficult sometimes.	Désolée, je pensais qu'on était en train de l'organiser, ça t'irait que ce soit un autre soir ?	Désolé je pensais qu'on l'organisait, tu es d'accord pour que ce soit une autre nuit?
French: Attendons de voir si quelque chose se passe rapidement. = English: Let's wait and see if something happens quickly.	J'ai une assistante pour ça.	J'ai un assistant pour faire ça.
French: Demain j'aurai peut-être un peu plus de courage pour aller faire de l'escalade avec toi = English: Tomorrow I might feel a little braver to go climbing with you.	Vous avez parfaitement raison.	tu as tout à fait raison.
English: Hi, I'm sorry my homework is late. = French: Bonjour, je suis désolée d'être en retard avec mon devoir.	Je suis occupé samedi.	Je suis occupé samedi.
English: I would love to travel there = French: J'adorerais y aller.	Donc, oui, bien sûr, je me rappelle de ton stupide film.	donc, oui, bien sûr, je me souviens de votre film stupide.
French: Je pense que mettre les chaussures au four indique de fortes émotions qui ne parviennent pas à s'exprimer autrement. = English: I think putting your shoes in the oven is a sign of strong emotions that you can't seem to express otherwise.	Je devrais peut-être commander un verre au chariot à boissons pour me calmer.	Peut-être que je devrais commander un verre au bar pour me calmer les nerfs.
English: Yes. = French: Oui.	Je ne veux pas vous effrayer mais je pense qu'on va s'écraser et qu'on va mourir.	Je ne veux pas vous effrayer mais je pense que nous allons probablement nous écraser.
English: To be honest, I don't like working in a team as I end up doing all the work and the rest of the team take the credit. = French: Pour être honnête, je n'aime pas travailler en groupe car je finis toujours par tout faire et le reste du groupe s'en attribue le mérite.	J'ai toujours eu un faible pour les personnes en position d'autorité.	J'ai toujours eu un faible pour les gens en autorité.
French: Je rigolais ! = English: I was joking!	J'en ai fini avec toi.	Je ne veux plus te voir.
French: Tu peux y aller si tu veux et tu reviens me chercher = English: You can go if you want and then you can come back and find me.	Ouah, je pensais que vous me diriez qu'on a besoin des bases !	Ah, je pensais que tu allais me dire que nous avons besoin des bases!
English: Tell me, are you able to do your work with confidence, or do you feel unable to reach the expected targets? = French: Dites-moi, êtes-vous capable de faire votre travail en toute confiance, ou est-ce que vous vous sentez incapable d'atteindre les objectifs qu'on attend de vous ?	C'est difficile mais tu as écouté toutes les instructions de l'équipage donc tu as fait tout ce que tu pouvais.	C'est difficile mais vous avez écouté toutes les instructions de l'équipage, vous avez fait tout ce que vous pouviez faire.
English: Flat White? = French: Un flat white ?	Héhé, tu me fais rire !	Haha, tu me fais rire!
French: Mais euuuh ! = English: Leave off!	J'ai tellement peur.	Je suis si effrayé.
English: The main challenge in feeding ducks lies in throwing the bread to different places so that even the smaller ducks get some too. = French: Ce qui est difficile quand on nourrit les canards, c'est de lancer du pain un peu partout, pour que même les plus petits puissent en attraper.	Ils ont une exposition temporaire en ce moment sur Vincent Van Gogh.	Ils ont une exposition spéciale en ce moment sur Vincent Van Gogh.
French: Il pourrait vous rassurer. = English: That could help to reassure you.	Pensez-vous que j'ai raison à ce sujet ?	Pensez-vous que je suis dans le vrai?
English: i never liked french movies anyway. = French: De toute façon je n'ai jamais aimé les films français.	Je n'ai pas faim, en fait.	En fait, je n'ai pas très faim.
French: Et tu as raison, il faut que je me bouge plus = English: And you're right. I need to get up and about more.	Je veux dire, je me suis même coincé les cheveux dans la photocopieuse.	Je veux dire, j'ai même eu les cheveux coincés dans la photocopieuse!
English: That's terrible and knowing that doesn't help my nerves. = French: C'est horrible et le savoir ne m'aide pas à rester calme.	Qu'est-ce que tu veux dire ?	Qu'est-ce que tu veux dire?
English: how about our burger platter. = French: Que diriez-vous de notre plateau de burgers ?	Je ne connais rien aux fêtes religieuses ou aux événements religieux.	Je ne sais rien des jours fériés ou des événements religieux.
French: Ils ne peuvent rien contre les turbulences ! = English: There's nothing they can do about turbulence!	Cuisiner ?	Le cuisinier?
English: Have you got your phone with you? = French: Vous avez votre téléphone sur vous ?	C'est la vie.	C'est la vie
French: ce n'est pas certain ! = English: I'm not sure!	OK, et on va peut-être même réussir à arriver à l'heure à la réunion.	Ok, et on pourrait même encore être en mesure de faire la réunion à l'heure!
French: Il faut continuer un peu le long de l'étang puis remonter la rivière pendant une centaine de mètres. = English: You have to keep going along the pond and then head up the river for about a hundred metres.	Je déteste les assiettes en plastique, je préfère nettement en avoir de vraies même si ça veut dire plus de nettoyage ensuite.	Je déteste les assiettes en plastique, je préférerais avoir des assiettes normales même si ça veut dire plus de travail pour nettoyer.
French: Tu veux que je te tienne un peu compagnie ? = English: Do you want me to keep you company for a bit?	OK.	D'accord.
English: Good idea, I'll get one too. = French: Bonne idée, je vais en prendre un moi aussi.	Il se couche dans cette direction - ça doit être l'ouest !	C'est en train de se mettre dans cette direction, c'est forcément l'ouest!
