French: avec plaisir! = English: With pleasure!	Do you have any specific ideas?	Did you have any ideas already?
French: J'en ai encore, si vous voulez. = English: I still have some left if you want.	I always bring too much.	I always bring too much.
French: J'adore faire de la pâtisserie. = English: I love baking.	We could make a cake with glittery icing - like a 80's style disco!	We could make a cake with glitter icing, that would be disco style 80s!
French: Mon entreprise est bi-localisée. = English: My company is split between two countries.	You'll see, it's very pleasant once we're up there.	You'll see, it's very pleasant once you're up there.
French: J'espère! = English: I should think so!	I love their little alien heads and their old-man wrinkly skin!	I like their little alien heads and their wrinkled old skin!
French: On pourrait demander à tout le monde de venir avec des habits des années 80. = English: We could get everyone to dress up in 1980's clothes	Ah yeah, the 80's, what a great idea!	Ah yes, the 80's, that's a great idea!
French: Comment était la visite du temple hier ? = English: How was the visit to the temple yesterday?	I haven't visited any yet myself.	I have not visited any yet.
French: Je suis contente d'avoir pu vous aider. = English: I'm glad I could help.	Got it! Thanks again.	Thank you again.
French: Il te reste quelque chose à manger ? = English: Do you have anything left to eat?	Ok, I can't find the map...	Okay, I can't find the map...
French: ah, oui, on pourrait faire un saumon en croûte, c'est vrai! = English: Oh, yes, we could make a salmon en croute, couldn't we?	It would be quicker and it always looks fancy!	It would be quicker and it always looks chic!
French: Est-ce vous pouvez faire votre enquête auprès du service de maintenance tout de suite ? = English: Can you make your enquiries into the maintenance of the lifts straight away?	No problem.	No problem.
French: La nouvelle catégorie socio-économique : d'abord les travailleurs cols blancs, ensuite les travailleurs cols bleus et maintenant les cols verts. = English: the new socio-economic category: first the white collar workers, then the blue collar workers, now the green collars	Do you think that the ducks' migration is due to socio-economic factors?	Do you think the migrations of ducks are due to socio-economic factors?
French: Pintade en ballotins, sauce madère, petits poireaux, pomme de terres fondantes et truffe d'été. = English: Guinea fowl with a ballotine of leg, madeira jus, baby leeks, fondant potato and summer truffle.	Excellent.	Excellent.
French: Je pense notamment aux semi-conducteurs, qui sont presque exclusivement produits en Chine, dans des mines très polluantes. = English: I am thinking in particular of semi-conductors, which are almost exclusively produced in China, in highly polluting mines.	But you could speak to your Physics teacher about it, if you're interested.	But you can talk about it to your physics teacher, if you are interested.
French: Non je voulais dire, le soir il fait plus froid que pendant la journée. = English: No, I meant that it's cooler in the evening than during the day.	And tomorrow we'll find the way home.	and tomorrow we will be back on the way back.
French: Et j'aurais l'air de quoi ! = English: And how would that make me look?	Find me another pool in town.	Find me another pool in town.
French: J'adore les animaux mais je suis malheureusement allergique aux polis des bêtes. = English: I love animals, but unfortunately I'm allergic to animal hair.	Other than that, I'm a musician in a jazz group.	Otherwise, I'm a musician in a jazz ensemble.
French: dès que nous pourrons sortir de l'ascenseur, je vais me remettre en contact avec eux. = English: As soon as we get out of this lift, I'm going to get back in contact with them.	The idea being to see what's been done and to understand why the lift has broken down again.	The idea is to see what has been done, and to understand why the lift is again out of order.
French: Merci c'est un super conseil ! = English: Thanks, that's great advice!	I just called them and they said yes!	I just called them, they said yes!
French: SURPRIIIIIIISE !!!!!!!!! = English: SURPRIIIIIIISE!!!!!!!!!	Happy birthday!!!!!	Happy birthday!!!!!
French: Et je peux trouver des décorations, des ballons etc. = English: And I can get some decorations, balloons and things	But that's perfect!	But it's perfect!
French: Appelez donc les secours! = English: So call for help!	There - the big red button!	There is the big red button!
French: Ils ont 3 et 5 ans. = English: they are 3 and 5	I understand.	I understand very well
French: La nourriture est toujours mixée. = English: the food is just mushy	I agree, that doesn't sound great.	Indeed, it must not be very good.
French: J'hésite, mais plutôt une grande fête avec tous mes amis. = English: I don't know yet, but I'm siding more towards a big party with all my friends.	My place isn't big enough. Perhaps I could hire a room or rent a bar?	I don't have enough space at home, I could maybe rent a room or reserve a bar?
French: qu'on fait ensuite mariner dans du jus de citron = English: that we then marinate in lemon juice.	I think it could make a nice starter.	I think it could make a nice starter.
French: Je suis désolée, je voulais dire monsieur ! = English: I'm sorry, I meant Sir!	Ok, tell me why you're here.	Well, tell me what brings you here
French: S'il te plaît. = English: Please.	I bet you won't be able to catch it!	I think you won't catch him!
French: Je crois que Marc utilise beaucoup Spotify. = English: I think that Marc uses Spotify a lot.	He loves hits from the 80's and 90's.	He loves the 80s and 90s hits.
French: Mais comme la journée fut intense pour nous deux, que penses-tu de se préparer également un bon dessert ? = English: But since we both had such a hectic day, how about also preparing a nice dessert?	To soothe the soul and warm the heart.	It soothes the mind and warms the heart.
French: ça tangue beaucoup trop là, et les hotesses ont pas l'air à l'aise. = English: It's pitching far too much to this side and the stewardesses look a little uneasy.	You can see they're trying to stay calm.	You can see they're trying to keep calm.
French: Est-ce que vous savez comment sortir de cette forêt ? = English: Do you know the way out of these trees?	No, I've never been by here before, but perhaps we can try to get out by continuing in the same direction.	No, I have never been here before, but maybe we can try by going in the same direction.
